	HSK_level	structure
812	2	 快(要)+ Verb + 了 
817	2	 快要 + Verb + 了 
822	2	 Subj. + 要 + Verb / Adj. + 了 
827	2	 Topic (+ Subj.) + 什么 + 都 / 也 + Verb / Adj. 
832	2	 什么 + Noun + 都 + Verb 
837	2	 什么 + Noun + 都 / 也 + 不 / 没 (有) + Verb 
842	2	 别 + Verb / [Verb Phrase] + 了 
854	2	 Person + 是 + 来 / 去 + Verb+ 的 
859	2	 Thing + 是 + 用来 + Verb + 的 :: or :: Thing + 是 + 给 + Person + Verb + 的 
864	2	 Omitting a Noun with 的 
866	2	 Subj. + 是 + [Distinguishing Words] + 的 
869	2	 Subj. + 是 + [Information to be Emphasized] + Verb + 的 
875	2	 Thing + 是 + 用来 + Verb + 的 :: or :: Person + 是 + 来 / 去 + Verb + 的 
882	2	 每次 + Event 1 + 都 + Event 2 
892	2	 Noun 1 + 比 + Noun 2 + Adj. + 很多 / 得多 / 多了 
899	2	 Subj. + Adj. + 多了 
902	2	 虽然 ⋯⋯ ，但是 / 可是 ⋯⋯ 
912	2	" Subj. + 要 / 想 / 想要 + Noun :: （Comparing ""要"" and ""想""）"
942	2	 (很) + 会 / 可以  /  能 + Verb/Adj. 
0	3	 Subj. + Adj. + 极了 
10	3	 Adj. + Adj. + 的 (+ Noun) 
15	3	 A A B B + 的 (+ Noun) 
22	3	 AABB + 地 + Verb 
25	3	 Subj. + ABAB 
28	3	 Subj. + AB + 一下 
30	3	 Subj. + Adj. + 地 + Verb 
40	3	 (Subj. +) 又 + Verb + 了 
44	3	 (Subj. +) 又 + 不 / 没 + Verb 
51	3	 Subj. + 一直 + Predicate 
61	3	 Subj. + 总是 + Verb :: / :: 总是 + Adv. + Adj. 
71	3	 Subj. + (已经 +) Duration + 没 + Verb + 了 
82	3	 Subj. + 终于 + Predicate + 了 
92	3	 Subj. + Time + 才 + Verb 
101	3	 只 + Verb 
105	3	 只 + 会 / 能 + Verb 
111	3	 先 ⋯⋯ ，再 ⋯⋯ 
116	3	 先 + [Verb Phrase] + 再说 
122	3	 Subj. + 一边 + Verb (，) + 一边 + Verb 
132	3	 老 (是) + Predicate 
143	3	 才 + Number + [Measure Word] + Noun 
148	3	 才 + Verb + Number + Measure Word + Noun 
153	3	 Subj. + 那么 / 这么 + Adj. 
163	3	 Noun 1 + 跟 / 和 + Noun 2 + 一样 （+ Adj.） 
173	3	 Subj. + 又 + Adj. 1 + 又 + Adj. 2 
183	3	 Subj. + 比较 + Adj. / [Verb Phrase] 
193	3	 Subj. + 多 + Adj. 
203	3	 Adj. + 的 + Noun 
208	3	 Adj. + 的 
213	3	 Possibility 1 + 或者 + Possibility 2 
223	3	 Situation ，那么 + Suggestion / Decision 
233	3	 Subj. + 跟 + Person + 一起 + Verb + Obj. :: / :: Subj. + 跟 + Person + Verb + Obj. 
251	3	( Subj. + Verb + ) Option A + 还是 + Option B ? 
261	3	 Time / Verb + 以前 ，⋯⋯ 
271	3	 以前 + Subj. + Verb + Obj. :: /  :: Subj. + 以前 + Verb + Obj. 
281	3	 刚才 + Verb 
291	3	 Time + 时 ，Subj. ⋯⋯ 
301	3	 Subj. + 以后 + Verb + Obj. :: / :: Subj. + 以后 + Verb + Obj. 
311	3	 [Past Event 1] ，后来 ，[Past Event 2] 
321	3	 Number + (Number + 1) 
331	3	 Verb + 着 
335	3	 Verb 1 + 着 + Verb 2 
343	3	 Subj. + 是 + Verb + 着 + 玩 + 的 
345	3	 Subj. (+ 不) + Verb / Adj. + 了 
359	3	 Topic / [Missing Person / Thing] + 呢 ？ 
374	3	 的 + Noun :: / :: Verb + 得 :: / :: Adj. + 地 + Verb 
392	3	 关于 + Obj. ，⋯⋯ 
397	3	 关于 ⋯⋯ 的 + Noun 
404	3	 直到 + Time / Event ，Subj. + 都 ( + 不 / 没 ) ⋯⋯ 
414	3	 向 + Direction / Person + Verb 
425	3	 Subj. + 看起来 + Adj. 
430	3	 Subj. + 看起来 + 像 + Noun Phrase 
435	3	 Noun 1 + 没有 + Noun 2 + Adj. 
447	3	 Subj. + [Causative Verb] + Person + Predicate 
457	3	 经过 + Event / Time ，⋯⋯ 
465	3	 Subj. (+ 不) + 应该 + Verb + Obj. 
475	3	 Subj. + (很) 难 + Verb / [Sense Verb] 
485	3	 Subj. + Verb + 了 + Duration + Obj. 
488	3	 Subj. + Verb + 了 + Duration + 的 + Obj. 
491	3	 Subj. + [Time Word] + Verb + 了 + Duration + Obj. 
496	3	 Subj. + Verb + 了 + Duration + 了 
501	3	 Subj. + Verb + Obj. + Verb + 了 + Duration + 了 
506	3	 Subj. + 没办法 + Verb + Obj. 
516	3	 Subj. + Verb + Verb 
520	3	 Verb + 一 + Verb 
526	3	 ABAB Reduplication with Two-Syllable Verbs 
530	3	 Subj. + 很 + [Certain Verbs] 
538	3	 Verb + 来 / 去 
545	3	 Verb + [Compound Direction Complement] 
549	3	 Verb + Object + Complement 
556	3	 Subj. + 把 + Obj. + Verb + [Direction Complement] 
577	3	 Subj. + Verb + 得 / 不 + Complement 
592	3	 Subj. （+没） Verb + [One-syllable Verb] +了 (+ Obj.) 
599	3	 Subj. + Verb + [One-syllable Verb] +了 (+ Obj.) 
602	3	 Subj. + Verb （+ 不） + 下去 (+ 了) 
614	3	 只要 + Condition ，就 + Result 
624	3	 ⋯⋯ ，才 ⋯⋯ 
633	3	 只有 + Essential Condition + 才 + Desired Outcome 
643	3	 有的 + (Subj.) + Predicate， 有的 + (Subj.) + Predicate 
653	3	 一 + Measure Word + (Noun) + 也 / 都 + 不 / 没 + Verb 
